"Timestamp","Please tick the checkbox below as a way of providing informed consent for us to utilize your answers in the project.","What is your gender?","What is your field of study?","What is your year of study?","On a scale of 1-5, how would you rate the current state of mental health support at your university?","Have you ever utilized the mental health care services offered at your university?","If yes, how satisfied were you with the services offered?","What mental health challenges do you or your peers commonly face? (Pick the top three)","How comfortable do you feel discussing Mental Health issues with: [Friends]","How comfortable do you feel discussing Mental Health issues with: [Family]","How comfortable do you feel discussing Mental Health issues with: [University staff]","How comfortable do you feel discussing Mental Health issues with: [Professional counselors]","What barriers, if any, have you experienced in accessing mental health support? ","What methods or activities do you use to maintain your mental health?","How comfortable would you feel using a mental health companion software application powered by Artificial Intelligence?","What features would you find helpful in a mental health companion software application powered by Artificial Intelligence? (Select your top three)","What concerns, if any, would you have about using a mental health companion software application powered by Artificial Intelligence?","In your opinion, how can universities improve mental health support for students?","Any additional comments or suggestions regarding mental health support in universities?"
"2024/09/17 10:57:52 am GMT+3","I give you my consent","Male","Health Sciences","3rd Year","3 - Fair","Yes","3 - Neutral","Stress;Academic pressure;Financial concerns","Very comfortable","Neutral","Somewhat uncomfortable","Very comfortable","Stigma surrounding mental health","Exercise;Meditation or mindfulness","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Provide counseling sessions for students ","Nope"
"2024/09/17 11:01:50 am GMT+3","I give you my consent","Female","Information Technology (IT)","4th Year","3 - Fair","Yes","4 - Satisfied","Stress;Depression;Academic pressure","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Social support","2 - Somewhat Uncomfortable","Personalized coping strategies;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
"2024/09/17 11:11:28 am GMT+3","I give you my consent","Female","Information Technology (IT)","4th Year","4 - Good","No","","Stress;Academic pressure;Financial concerns","Neutral","Very comfortable","Somewhat uncomfortable","Neutral","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Social support","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Making it more available ",""
"2024/09/17 11:22:26 am GMT+3","I give you my consent","Female","Social sciences ","1st Year","5 - Very good","Yes","5 - Very Satisfied","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat comfortable","Very comfortable","Very comfortable","Lack of awareness about available resources","Exercise;Meditation or mindfulness;Therapy or counseling;Social support","1 - Very Uncomfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","By providing freedom of expression and approach to each student. ","Providing counseling sessions 
"
"2024/09/17 11:23:16 am GMT+3","I give you my consent","Female","Information Technology (IT)","1st Year","4 - Good","No","","Stress;Anxiety;Depression","Neutral","Somewhat comfortable","Very uncomfortable","Neutral","Lack of awareness about available resources","Social support","3 - Neutral","Daily mood tracking;Personalized coping strategies;Connection to professional help when needed","Getting to attached to a non living being.","","More publicity "
"2024/09/17 12:04:52 pm GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","2 - Poor","No","","Anxiety;Academic pressure;Financial concerns","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Neutral","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Social support","5 - Very Comfortable","Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information;Offline capabilities","More awareness, discourage stigma",""
"2024/09/17 12:11:55 pm GMT+3","I give you my consent","Male","Computer science ","2nd Year","2 - Poor","No","","Stress;Depression;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness;Social support","5 - Very Comfortable","Meditation and mindfulness exercises","Privacy;Incorrect mental health information","",""
"2024/09/17 12:23:23 pm GMT+3","I give you my consent","Male","Health Sciences","4th Year","2 - Poor","No","","Anxiety;Academic pressure;Financial concerns","Somewhat uncomfortable","Neutral","Somewhat uncomfortable","Very comfortable","Lack of awareness about available resources;Financial constraints","Meditation or mindfulness","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Onsite professional and keeping it private ","I run to God for this help"
"2024/09/17 12:29:35 pm GMT+3","I give you my consent","Male","Health Sciences","5th Year","4 - Good","No","","Stress;Depression;Financial concerns","Somewhat comfortable","Very comfortable","Very comfortable","Very comfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Social support","5 - Very Comfortable","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","Training more counselors and creating awareness  about the availability of the services with in the university ",""
"2024/09/17 12:30:27 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","3 - Fair","No","","Stress;Depression;Academic pressure","Very comfortable","Somewhat comfortable","Neutral","Somewhat uncomfortable","Lack of awareness about available resources","Exercise;Social support","4 - Somewhat Comfortable","Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy","",""
"2024/09/17 12:40:41 pm GMT+3","I give you my consent","Female","Information Technology (IT)","4th Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Very comfortable","Very uncomfortable","Somewhat uncomfortable","Limited availability of counselors;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness","3 - Neutral","Personalized coping strategies;Meditation and mindfulness exercises;Anonymous peer support","Privacy;Incorrect mental health information","",""
"2024/09/17 1:03:02 pm GMT+3","I give you my consent","Male","Information Technology (IT)","2nd Year","2 - Poor","No","","Stress;Depression;Academic pressure","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat comfortable","Limited availability of counselors","Social support","5 - Very Comfortable","Trained A.I chat bot to communicate with","Privacy","Not sure",""
"2024/09/17 1:26:09 pm GMT+3","I give you my consent","Female","Information Technology (IT)","2nd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Very uncomfortable","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Meditation or mindfulness","5 - Very Comfortable","Daily mood tracking","Privacy","By implementing this software ","No"
"2024/09/17 2:14:51 pm GMT+3","I give you my consent","Female","Health Sciences","3rd Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Meditation or mindfulness","5 - Very Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Bridge the gap by reaching out to students occasionally for counseling sessions on common issues affecting students ",""
"2024/09/17 2:44:35 pm GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","3 - Fair","No","3 - Neutral","Stress;Anxiety;Depression","Somewhat comfortable","Very comfortable","Somewhat uncomfortable","Somewhat comfortable","Financial constraints","Exercise;Meditation or mindfulness","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Educational resources on mental health;Trained A.I chat bot to communicate with","Incorrect mental health information","Releasing student allowances in time to prevent stress and anxiety","Should be able to camly convince or cool down students in situations such as academic pressures, allowances, etc"
"2024/09/17 7:39:46 pm GMT+3","I give you my consent","Male","Business","3rd Year","2 - Poor","No","3 - Neutral","Anxiety;Depression;Financial concerns","Somewhat uncomfortable","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Awareness","
"
"2024/09/17 8:33:06 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","1 - Very poor","No","","Stress;Anxiety;Depression","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Therapy or counseling","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Integratemental health awareness and support systems ","Work with the Tafari foundation for greater support."
"2024/09/17 9:13:41 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","2 - Poor","No","","Stress;Loneliness;Academic pressure","Somewhat comfortable","Very comfortable","Very uncomfortable","Neutral","Lack of awareness about available resources","Exercise","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises","Privacy;Incorrect mental health information","Organising social events",""
"2024/09/17 9:44:19 pm GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","1 - Very poor","No","","Stress;Anxiety;Financial concerns","Neutral","Very comfortable","Neutral","Neutral","Lack of awareness about available resources","Exercise;Meditation or mindfulness","5 - Very Comfortable","Anonymous peer support","Incorrect mental health information","By promoting mental health services",""
"2024/09/17 10:54:18 pm GMT+3","I give you my consent","Female","Performing Arts","3rd Year","3 - Fair","Yes","3 - Neutral","Stress;Depression;Academic pressure","Somewhat uncomfortable","Very comfortable","Somewhat comfortable","Neutral","Stigma surrounding mental health","Exercise","5 - Very Comfortable","Connection to professional help when needed","Privacy","Universities should employ enough counselors for almost every course so as students can access them easily ","Universities should as well provide necessities needed by students so as they don't get frustrated and end up getting mental health issues "
"2024/09/18 1:31:41 am GMT+3","I give you my consent","Male","Engineering, Art & Design","4th Year","3 - Fair","No","","Stress;Anxiety;Depression","Somewhat comfortable","Very comfortable","Somewhat uncomfortable","Very comfortable","Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness;Therapy or counseling;Social support","3 - Neutral","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
"2024/09/18 2:11:44 pm GMT+3","I give you my consent","Male","Information Technology (IT)","2nd Year","2 - Poor","No","3 - Neutral","Depression;Academic pressure;Financial concerns","Very comfortable","Somewhat uncomfortable","Neutral","Very comfortable","Limited availability of counselors;Lack of awareness about available resources;Financial constraints","Meditation or mindfulness;Listening to Music ","4 - Somewhat Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Anonymous peer support","Privacy;Incorrect mental health information","Create more spaces where students get together to check how their doing on a regular","Every student is in need of that"
"2024/09/18 9:30:55 pm GMT+3","I give you my consent","Male","Business Course ","3rd Year","4 - Good","Yes","4 - Satisfied","Stress;Academic pressure;Financial concerns","Very uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Limited availability of counselors","Social support","2 - Somewhat Uncomfortable","Connection to professional help when needed;Educational resources on mental health","Privacy","Having in place enough professionals to offer counselling  in place","This is a very good Idea. It helps students to cope with mental health challenges "
"2024/09/19 11:35:20 am GMT+3","I give you my consent","Female","Information Technology (IT)","4th Year","3 - Fair","No","","Stress;Anxiety;Academic pressure","Somewhat uncomfortable","Neutral","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health","Meditation or mindfulness","4 - Somewhat Comfortable","Daily mood tracking;Educational resources on mental health","Privacy","",""
"2024/09/19 1:57:24 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","4th Year","1 - Very poor","No","3 - Neutral","Stress;Anxiety;Depression","Very comfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","1 - Very Uncomfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Improve awareness ","You’re doing great"
"2024/09/19 1:59:32 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","2 - Poor","No","","Anxiety;Depression;Academic pressure","Very comfortable","Very comfortable","Somewhat uncomfortable","Somewhat comfortable","Limited availability of counselors;Stigma surrounding mental health","Exercise","2 - Somewhat Uncomfortable","Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Encourage and address mental health as a major issue ",""
"2024/09/19 2:07:51 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","1 - Very poor","No","","Stress;Anxiety;Academic pressure","Somewhat comfortable","Somewhat comfortable","Somewhat uncomfortable","Neutral","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","4 - Somewhat Comfortable","Personalized coping strategies;Connection to professional help when needed;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
"2024/09/19 2:16:50 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Anime","5 - Very Comfortable","None","Privacy;Incorrect mental health information","",""
"2024/09/19 3:17:35 pm GMT+3","I give you my consent","Male","Information Technology (IT)","3rd Year","3 - Fair","No","3 - Neutral","Anxiety;Depression;Loneliness","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Limited availability of counselors","Exercise;Meditation or mindfulness;Social support","2 - Somewhat Uncomfortable","Daily mood tracking;Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Fellowships ","Social groups "
"2024/09/19 3:35:22 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","3rd Year","3 - Fair","No","","Anxiety;Academic pressure;Financial concerns","Very comfortable","Neutral","Somewhat uncomfortable","Neutral","Lack of awareness about available resources","Meditation or mindfulness;Keeping busy while surrounding myself with positivity ","3 - Neutral","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Setting up WhatsApp groups where mental  issues are freely discussed or creating WhatsApp contacts for anonymous communication ",""
"2024/09/19 3:55:58 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","4th Year","3 - Fair","No","","Anxiety;Academic pressure;Financial concerns","Very comfortable","Neutral","Very uncomfortable","Somewhat uncomfortable","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Meditation or mindfulness","4 - Somewhat Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Encouraging students to attend fellowships because  presence of God is the best answer ","God God God"
"2024/09/19 6:32:44 pm GMT+3","I give you my consent","Male","Business","2nd Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Very comfortable","Somewhat comfortable","Neutral","Neutral","Stigma surrounding mental health","Exercise","5 - Very Comfortable","Trained A.I chat bot to communicate with","Incorrect mental health information","",""
"2024/09/19 6:34:18 pm GMT+3","I give you my consent","Male","Information Technology (IT)","2nd Year","2 - Poor","No","","Stress;Depression;Financial concerns","Neutral","Neutral","Neutral","Somewhat comfortable","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Therapy or counseling;Social support","5 - Very Comfortable","Daily mood tracking;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Providing counseling services ",""
"2024/09/19 7:08:47 pm GMT+3","I give you my consent","Female","Natural Sciences","3rd Year","3 - Fair","Yes","4 - Satisfied","Depression;Academic pressure;Financial concerns","Somewhat comfortable","Neutral","Neutral","Somewhat comfortable","Lack of awareness about available resources","Exercise","3 - Neutral","Personalized coping strategies;Connection to professional help when needed;Anonymous peer support","Privacy","Increase awareness about availability of mental health resources such as counselors","No"
"2024/09/19 8:43:48 pm GMT+3","I give you my consent","Male","Natural Sciences","2nd Year","1 - Very poor","No","","Stress;Academic pressure;Financial concerns","Neutral","Neutral","Neutral","Neutral","Limited availability of counselors","Exercise","1 - Very Uncomfortable","Meditation and mindfulness exercises","Privacy","",""
"2024/09/19 9:51:07 pm GMT+3","I give you my consent","Female","Law","4th Year","1 - Very poor","Yes","3 - Neutral","Stress;Depression;Academic pressure","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very comfortable","Stigma surrounding mental health;Financial constraints","Meditation or mindfulness;Therapy or counseling;Sleep","2 - Somewhat Uncomfortable","Personalized coping strategies;Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information;Data collection.","Be more humane and considerate to students. Implement policies surrounding mental health.
There’s a very poor mental health pandemic going on.","Please, tell your lecturers to listen, be humane and considerate to students."
"2024/09/19 9:59:26 pm GMT+3","I give you my consent","Female","Bachelor of Laws ","4th Year","2 - Poor","Yes","1 - Disappointed","Depression;Academic pressure;Financial concerns","Very uncomfortable","Somewhat comfortable","Somewhat comfortable","Very comfortable","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Therapy or counseling;Anti depressant drugs ","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information;Lack of physical and social connection ","Expand awareness of the reality and effects of mental illness, provide social support systems and therapy ","Allow more time for the mental health patients to complete their study courses without charging extra fees. "
"2024/09/19 10:08:32 pm GMT+3","I give you my consent","Male","Information Technology (IT)","4th Year","3 - Fair","No","","Stress;Anxiety;Academic pressure","Neutral","Somewhat comfortable","Somewhat uncomfortable","Somewhat comfortable","Long wait times;Limited availability of counselors;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness;Social support","3 - Neutral","Educational resources on mental health","Privacy","Increase awareness on menatl health","None"
"2024/09/19 10:14:23 pm GMT+3","I give you my consent","Female","Legal ","4th Year","3 - Fair","No","","Anxiety;Depression;Academic pressure","Neutral","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Exercise;Social support","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Connection to professional help when needed","Privacy;Incorrect mental health information","",""
"2024/09/19 10:22:13 pm GMT+3","I give you my consent","Female","Law ","4th Year","1 - Very poor","Yes","1 - Disappointed","Depression;Loneliness;Financial concerns","Somewhat comfortable","Neutral","Very uncomfortable","Neutral","Limited availability of counselors","Meditation or mindfulness","3 - Neutral","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises;Anonymous peer support","Privacy;Incorrect mental health information","Avail qualified counsellors","Mental health is priority "
"2024/09/19 10:35:49 pm GMT+3","I give you my consent","Male","Law","1st Year","2 - Poor","No","","Stress;Anxiety;Academic pressure","Somewhat comfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Limited availability of counselors","Meditation or mindfulness;Social support;Music","3 - Neutral","Anonymous peer support","Privacy;Incorrect mental health information","Remembering that students are also people with issues trying to figure out this world.",""
"2024/09/19 10:38:58 pm GMT+3","I give you my consent","Female","Law","4th Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Neutral","Very uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Drugs and alcohol ","4 - Somewhat Comfortable","Daily mood tracking;Anonymous peer support","Privacy;Incorrect mental health information","Reduce on university academic pressure ",""
"2024/09/20 12:34:26 am GMT+3","I give you my consent","Male","Law","4th Year","3 - Fair","No","3 - Neutral","Anxiety;Depression;Academic pressure","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Limited availability of counselors","Exercise","4 - Somewhat Comfortable","Meditation and mindfulness exercises","Incorrect mental health information","",""
"2024/09/20 4:35:39 am GMT+3","I give you my consent","Female","Law","4th Year","2 - Poor","Yes","2 - Not Satisfied","Anxiety;Depression;Loneliness","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very comfortable","Stigma surrounding mental health;Lack of awareness about available resources","Social support","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Anonymous peer support","Unavailable offline usage ","By providing strategic support with mental health officers situated at each college ","Minimize stigma. Encourage people to talk about it openly without fear of judgement or being seen as a weak human. One time someone told me the things I say am feeling (constant sadness causing me to burst out and cry out of the blue) were for whites and that I should just get over it 😔"
"2024/09/20 5:12:44 am GMT+3","I give you my consent","Male","Information Technology (IT)","5th Year","3 - Fair","No","","Stress;Loneliness;Financial concerns","Somewhat comfortable","Neutral","Neutral","Neutral","Lack of awareness about available resources","Exercise","5 - Very Comfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","",""
"2024/09/20 5:13:38 am GMT+3","I give you my consent","Female","Engineering, Art & Design","1st Year","4 - Good","No","","Depression;Academic pressure;Financial concerns","Neutral","Neutral","Very uncomfortable","Neutral","Lack of awareness about available resources","Exercise","4 - Somewhat Comfortable","Daily mood tracking;Meditation and mindfulness exercises","Incorrect mental health information","Raise awareness about the stigmatization around the subject, especially for the older students/ male ones","Should be as accessible as possible "
"2024/09/20 6:36:07 am GMT+3","I give you my consent","Male","LAW","4th Year","1 - Very poor","No","3 - Neutral","Stress;Anxiety;Academic pressure","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Financial constraints","Exercise;Meditation or mindfulness","5 - Very Comfortable","Anonymous peer support;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
